# format=rl-suite-semantic-map-v1
# revision=1.12.13
# input.sha256=a0eeaa3968819fdde8bb13988a99b7a6152539da35955da3860576b4c39b7859
# source=devious-annotations
# source.sha256=68fa234b5709c52a7d589d59e53223c08ca764aac3ffe71fb9fda40f31e0c2c8
# source.commit=3c01c4f5a68e2e013f47ea8bb8b66e364494ebee
class	mf	-	-	WorldMapCacheName
class	mg	-	-	DemotingHashTable
class	mj	-	-	PacketBufferNode
class	ml	-	-	ClientPacket
class	mn	-	-	WorldMapSection1
class	mr	-	-	WorldMapScaleHandler
class	ms	-	-	AbstractWorldMapIcon
class	mt	-	-	class330
class	mu	-	-	WorldMapEvent
class	mv	-	-	DirectWrapper
class	mw	-	-	WorldMapSection
class	mx	-	-	SoftWrapper
class	mz	-	-	ServerPacket
class	na	-	-	MidiFileReader
class	nb	-	-	class343
class	nc	-	-	MidiPcmStream
class	nd	-	-	MusicPatchNode
class	nf	-	-	MidiRequest
class	ng	-	-	MusicPatchNode2
class	nh	-	-	class348
class	ni	-	-	class356
class	nk	-	-	MusicPatchPcmStream
class	nl	-	-	class345
class	no	-	-	class340
class	np	-	-	AbstractByteArrayCopier
class	nq	-	-	MusicTrack
class	nt	-	-	DirectByteArrayCopier
class	nu	-	-	class341
class	nw	-	-	MusicPatch
class	nx	-	-	class358
class	ny	-	-	class339
class	nz	-	-	class352
class	oa	-	-	PlayerComposition
class	ob	-	-	class374
class	oc	-	-	WidgetDefinition
class	od	-	-	class379
class	oe	-	-	WidgetConfigNode
class	of	-	-	Widget
class	og	-	-	class380
class	oh	-	-	class387
class	oi	-	-	class373
class	oj	-	-	Coord
class	ok	-	-	class389
class	ol	-	-	class365
class	om	-	-	class372
class	op	-	-	class376
class	oq	-	-	Huffman
class	os	-	-	class383
class	ou	-	-	WorldMapDecorationType
class	ov	-	-	Varps
class	ow	-	-	class386
class	oy	-	-	Skills
class	oz	-	-	SpriteMask
class	pb	-	-	Timer
class	pf	-	-	class403
class	pi	-	-	class405
class	pj	-	-	HintArrow
class	pl	-	-	Strings
class	pm	-	-	StudioGame
class	pn	-	-	class406
class	pp	-	-	class408
class	pq	-	-	PlayerType
class	pr	-	-	class394
class	pt	-	-	ArchiveDiskAction
class	pu	-	-	class402
class	pv	-	-	GameBuild
class	pw	-	-	WorldEntityOwnerType
class	pz	-	-	CameraViewMode
class	qa	-	-	ModeWhere
class	qb	-	-	GrandExchangeOfferUnitPriceComparator
class	qc	-	-	GrandExchangeOfferWorldComparator
class	qd	-	-	Language
class	qf	-	-	ArchiveDiskActionHandler
class	qg	-	-	GrandExchangeOffer
class	qi	-	-	NodeHashTable
class	qj	-	-	class437
class	qk	-	-	GrandExchangeEvent
class	ql	-	-	IterableNodeHashTable
class	qm	-	-	AbstractArchive
class	qn	-	-	Archive
class	qo	-	-	IndexedObjectSetIterator
class	qp	-	-	GrandExchangeOfferNameComparator
class	qq	-	-	GrandExchangeEvents
class	qr	-	-	Enum
class	qt	-	-	IterableNodeHashTableIterator
class	qu	-	-	IndexedObjectSet
class	qv	-	-	GrandExchangeOfferTotalQuantityComparator
class	qw	-	-	class418
class	qx	-	-	class431
class	qy	-	-	JagNetThread
class	qz	-	-	GrandExchangeOfferAgeComparator
class	ra	-	-	class461
class	rd	-	-	class459
class	rf	-	-	class456
class	rg	-	-	IterableNodeDequeDescendingIterator
class	rh	-	-	IterableDualNodeQueueIterator
class	ri	-	-	class452
class	rj	-	-	LinkDeque
class	rl	-	-	Bounds
class	rm	-	-	IterableNodeDeque
class	rn	-	-	IterableDualNodeQueue
class	ro	-	-	class451
class	rp	-	-	class455
class	rq	-	-	class463
class	rt	-	-	NodeDeque
class	ru	-	-	DualNodeDeque
class	rx	-	-	ProjectionCoord
class	ry	-	-	TransformationMatrix
class	sb	-	-	class468
class	sd	-	-	class488
class	sg	-	-	class489
class	sh	-	-	SwapSongTask
class	sj	-	-	AnimationSequence
class	sk	-	-	FadeOutTask
class	sl	-	-	AbstractFont
class	sm	-	-	ByteArrayPool
class	sn	-	-	IntHashTable
class	so	-	-	HttpAuthenticationHeader
class	sp	-	-	FadeInTask
class	sq	-	-	DelayFadeTask
class	st	-	-	AddRequestTask
class	su	-	-	Font
class	sv	-	-	ConcurrentMidiTask
class	sw	-	-	class472
class	sz	-	-	SongTask
class	ta	-	-	FriendsChat
class	tc	-	-	FriendsList
class	td	-	-	AbstractSocket
class	tf	-	-	ArchiveDisk
